RUN,CAR_TYPE,HAS_PARKED,A,B,C,D,E,F,G,H,I,J,K
[9],['A'],[True],[103.19881747150745],[116.74774291108938],[174.97728591273045],[180.62960019275383],[183.97914094278],[183.97914094278],[855.0551453341346],[858.360521797624],[858.360521797624],[864.8642106513313],[878.4131360909132]
[9],['A'],[False],[110.178709380579],[136.91400265102],[198.77728215485502],[204.84528078726328],[207.85170542618016],[218.50476236723304],[844.6821479200161],[847.6895711964573],[847.6895711964573],[853.0402606579913],[879.7755539284324]
[9],['B'],[True],[554.6276101863],[581.9686350146517],[581.9686350146517],[588.874954471396],[591.6754877504005],[591.6754877504005],[856.7629997767863],[859.8062683429185],[859.8062683429185],[867.5644718503975],[894.9054966787492]
[9],['B'],[True],[733.1252391924064],[767.9284257869668],[767.9284257869668],[774.1548211898123],[777.8003667511405],[777.8003667511405],[861.6353703501479],[863.9439968066405],[863.9439968066405],[870.0166224286444],[904.8198090232048]
[9],['B'],[True],[788.3418002246455],[813.9456330720241],[813.9456330720241],[820.0434852623578],[823.2572864772579],[823.2572864772579],[872.3490396622121],[876.1644210459801],[876.1644210459801],[881.9437357912466],[907.5475686386252]
[9],['B'],[True],[567.7554289536371],[587.2989683171675],[587.9397727465836],[592.9853834498783],[596.6002844230746],[596.6002844230746],[883.8042195138987],[886.6718197402437],[886.6718197402437],[891.9038680099753],[911.4474073735057]
[9],['B'],[True],[574.4338922486204],[598.9544513951322],[598.9544513951322],[604.9536254348442],[607.9348364079018],[607.9348364079018],[879.4236934743979],[883.0985584381174],[883.0985584381174],[889.4596232570334],[913.9801824035452]
[9],['A'],[False],[115.3483590261133],[127.23225299329113],[188.80724077155926],[193.68293658688677],[196.39104048869643],[210.21228000787005],[896.1757367708412],[899.2330038140267],[899.2330038140267],[905.0857011262103],[916.9695950933882]
[9],['A'],[False],[111.765092338234],[162.29532505102122],[213.95554515943851],[218.66896748892984],[221.74883436145208],[230.2843105736347],[868.4145877812738],[871.5078011090635],[871.5078011090635],[876.6399694420949],[927.1702021548821]
[10],['B'],[True],[24.930648045892806],[54.92126666180086],[83.43418543299894],[89.09418732173997],[92.68796030208512],[92.68796030208512],[133.25296867143393],[136.43257991635514],[199.35704937260266],[205.43084588891966],[235.42146450482772]
[10],['B'],[True],[21.396191602356883],[41.0646697067311],[56.613497974899744],[63.48382025203864],[67.32140666071466],[67.32140666071466],[184.45761935782238],[187.32258299908287],[220.62528210121832],[225.48223558996924],[245.15071369434347]
[10],['B'],[True],[14.546984702603055],[42.14055770910875],[59.82619941611249],[64.39822516675471],[67.70556447978142],[67.70556447978142],[168.86929906578905],[171.70378234812208],[212.16467873512815],[217.7725517197913],[245.366124726297]
[10],['B'],[True],[40.35814595977391],[70.64836622648974],[107.02483071111763],[111.86549499674011],[115.31805695252507],[115.31805695252507],[156.29438362009216],[158.7674635450523],[208.81990336352615],[215.70401514220535],[245.99423540892118]
[10],['B'],[True],[0],[18.270774084315974],[18.270774084315974],[23.70024883234727],[27.343129816798225],[27.343129816798225],[201.9091329296811],[205.49932097890837],[223.04637805934547],[228.85268468413898],[247.12345876845495]
[10],['B'],[False],[82.8521234047038],[107.51126511688574],[164.68447074144828],[171.04823753759032],[173.70382606097584],[180.441477885334],[239.89782377191176],[242.91145328706895],[242.91145328706895],[248.05971146260325],[272.7188531747852]
[10],['B'],[False],[89.80667604915844],[108.44246082624872],[166.9711490063652],[171.98206087725083],[175.18385672622296],[183.45534696824265],[257.4332301930869],[260.68520326651947],[260.68520326651947],[265.8454591422553],[284.4812439193456]
[10],['B'],[False],[89.08104171868976],[105.52426252504839],[162.7740056310599],[166.9711490063652],[170.38395246163861],[181.74468324155643],[264.7016119119623],[267.4465711976603],[267.4465711976603],[273.5913223409589],[290.03454314731755]
[10],['B'],[True],[65.87053822851388],[85.41308867669878],[135.43303640296924],[139.74725942820635],[143.3005287183765],[143.3005287183765],[284.7771769184993],[287.8006028750318],[287.8006028750318],[292.78524560331107],[312.32779605149597]
[10],['B'],[False],[169.8160864857387],[198.57187472584323],[221.36330701796672],[228.11094703075173],[231.0862683870285],[238.84146074197469],[288.22804495504795],[291.4594338641004],[291.4594338641004],[297.54144201984377],[326.29723025994826]
[10],['B'],[False],[170.110450922282],[185.50809110476553],[215.70401514220535],[221.36330701796672],[224.27169367556897],[232.86712971442697],[304.07984610644803],[306.47497662530054],[306.47497662530054],[311.7689139536268],[327.16655413611034]
[10],['B'],[False],[70.2480815281395],[110.9684882418579],[168.15746727843938],[173.87730034935828],[176.94951892751268],[188.6238993480361],[280.2748700090966],[283.4998454164313],[283.4998454164313],[288.4345157506192],[329.15492246433763]
[10],['B'],[False],[200.92566127261844],[226.74174707032742],[226.74174707032742],[232.58911258065814],[236.05351586915558],[254.12445981881035],[300.2978174286835],[303.4515223650383],[303.4515223650383],[307.9607479266813],[333.77683372439026]
[10],['B'],[False],[150.99982851693863],[174.5500362573655],[212.9955056995885],[218.827230425887],[221.62984932068574],[229.2083314769589],[309.7028812706648],[312.1292797396673],[312.1292797396673],[318.2474574003204],[341.79766514074726]
[10],['B'],[True],[48.8076218879114],[70.00672197084654],[106.36713620980798],[111.29761377269132],[114.23335615597888],[114.23335615597888],[322.49243589843906],[325.39595912201844],[325.39595912201844],[331.15817755379885],[352.357277636734]
[10],['B'],[True],[68.2053754237329],[83.49917523292638],[131.31214601053406],[138.13497647556252],[140.70968996400077],[140.70968996400077],[349.5023654143858],[352.6996709983775],[352.6996709983775],[359.50641328895216],[374.80021309814566]
[10],['B'],[False],[144.2871558842972],[180.40669434389076],[215.47869223890893],[220.62528210121832],[224.43748931340988],[232.46021392086183],[335.05094264717684],[337.87175523866784],[337.87175523866784],[342.7020593947724],[378.82159785436596]
